Date,Balance
2007-01-01,99.74461440972576
2007-01-02,97.93530081617345
2007-01-03,100.11305358489217
2007-01-04,101.31086274902879
2007-01-05,102.39341643347414
2007-01-08,102.980195391451
2007-01-09,102.74731009358516
2007-01-10,102.01004938238978
2007-01-11,102.4271684230145
2007-01-12,103.46308114738672
2007-01-15,103.55830447411091
2007-01-16,103.02294737177233
2007-01-17,102.19902920376339
2007-01-18,102.14161280940452
2007-01-19,102.16359688248433
2007-01-22,101.90837740198475
2007-01-23,103.00163403935738
2007-01-24,102.47239551797604
2007-01-25,102.31888787789912
2007-01-26,101.82385013270823
2007-01-29,101.5707473389484
2007-01-30,100.06213951586724
2007-01-31,99.25788984172222
2007-02-01,99.20142397939713
2007-02-02,99.5438911267491
2007-02-05,99.96144497844895
2007-02-06,100.48152398917087
2007-02-07,100.20165044229559
2007-02-08,99.88087842233013
2007-02-09,100.0894566566758
2007-02-12,100.98546806799726
2007-02-13,101.22896903508878
2007-02-14,100.99534487734792
2007-02-15,102.35876290433661
2007-02-16,102.74867363700129
2007-02-19,102.26735714066837
2007-02-20,102.00870342474471
2007-02-21,100.9466979604569
2007-02-22,100.89443654500644
2007-02-23,101.08929309980938
2007-02-26,101.63968861515397
2007-02-27,102.47993365977752
2007-02-28,102.65506919961038
2007-03-01,103.69335733417861
2007-03-02,104.32192225491315
2007-03-05,105.17266846551479
2007-03-06,107.90492222519401
2007-03-07,107.87940663076915
2007-03-08,108.01075367181011
2007-03-09,107.99411364758467
2007-03-12,108.49820845967089
2007-03-13,108.12759063292974
2007-03-14,107.7639242054871
2007-03-15,107.24095235755762
2007-03-16,106.99843519980676
2007-03-19,107.40900932304885
2007-03-20,106.90203715254192
2007-03-21,107.55041287856221
2007-03-22,107.76034433226043
2007-03-23,107.04940386601206
2007-03-26,106.93366540629921
2007-03-27,105.75512130348197
2007-03-28,104.96730517845994
2007-03-29,104.79565407843425
2007-03-30,102.91098174741316
2007-04-02,103.00159951442585
2007-04-03,104.43757744972883
2007-04-04,104.09818543905413
2007-04-05,103.49647136370133
2007-04-06,103.47774904118194
2007-04-09,103.15449935367494
2007-04-10,104.27295556941756
2007-04-11,103.50500407552651
2007-04-12,103.76317094479779
2007-04-13,101.74016064582415
2007-04-16,102.0792464732111
2007-04-17,104.03520882957606
2007-04-18,103.75514458736737
2007-04-19,103.08329640387939
2007-04-20,102.2043272729606
2007-04-23,101.84554412891093
2007-04-24,101.47792647307563
2007-04-25,100.88794447811793
2007-04-26,101.44639536428261
2007-04-27,102.67231218060296
2007-04-30,102.616781472045
2007-05-01,101.4290964198561
2007-05-02,100.61848603918098
2007-05-03,99.87440023044086
2007-05-04,99.5619758965587
2007-05-07,99.47536114906364
2007-05-08,99.40022803838772
2007-05-09,98.77069923115994
2007-05-10,99.49380711741055
2007-05-11,100.66675579886062
2007-05-14,100.52460955727615
2007-05-15,98.97110515197281
2007-05-16,99.37242931886743
2007-05-17,99.0388119458555
2007-05-18,96.9457555988044
2007-05-21,97.51826849999621
2007-05-22,97.03034838810018
2007-05-23,95.79359443420691
2007-05-24,95.47578965546542
2007-05-25,94.89810006413222
2007-05-28,94.7188841359195
2007-05-29,92.66842649147279
2007-05-30,92.46697211042498
2007-05-31,92.69283121002475
2007-06-01,90.89951802573435
2007-06-04,91.40068910525837
2007-06-05,90.85619569442235
2007-06-06,90.90064908195973
2007-06-07,91.82986855203488
2007-06-08,92.70824178429048
2007-06-11,93.29932741281394
2007-06-12,93.62434108641537
2007-06-13,94.22551921231032
2007-06-14,93.8051956543205
2007-06-15,95.3516457601744
2007-06-18,95.36535654551781
2007-06-19,96.79045289371433
2007-06-20,97.85554695773665
2007-06-21,97.95614675122216
2007-06-22,97.64328121411455
2007-06-25,97.83685317407618
2007-06-26,96.69128731443942
2007-06-27,95.73685655213323
2007-06-28,95.23858060510779
2007-06-29,96.22925572605602
2007-07-02,96.46716747720012
2007-07-03,96.99780263305365
2007-07-04,97.3646315983151
2007-07-05,96.16365697831367
2007-07-06,95.63107101551029
2007-07-09,95.79466897570025
2007-07-10,98.18254376159263
2007-07-11,99.30842530854612
2007-07-12,100.33466101521667
2007-07-13,102.45420769988903
2007-07-16,101.41942392755941
2007-07-17,101.73362894739356
2007-07-18,101.07033651746045
2007-07-19,102.0330062652559
2007-07-20,103.67402023450059
2007-07-23,103.3286909360618
2007-07-24,102.22029422851888
2007-07-25,102.32015287558833
2007-07-26,103.70521584806562
2007-07-27,104.80078280416718
2007-07-30,108.86876267359544
2007-07-31,108.53450598509282
2007-08-01,107.34207000924063
2007-08-02,106.74917676003952
2007-08-03,107.28321935917593
2007-08-06,108.11754459085492
2007-08-07,108.75721511600582
2007-08-08,110.30217240135516
2007-08-09,111.26511434654336
2007-08-10,110.87921743076772
2007-08-13,110.78065793015644
2007-08-14,110.25196135496115
2007-08-15,111.24028560574213
2007-08-16,111.2623978261085
2007-08-17,112.56427490780518
2007-08-20,112.15037674507357
2007-08-21,111.0770427862278
2007-08-22,111.41543776121456
2007-08-23,112.09293225072643
2007-08-24,112.64429414181465
2007-08-27,113.31946203819679
2007-08-28,112.59026002695067
2007-08-29,114.62777229922818
2007-08-30,113.80350432781997
2007-08-31,112.1104365401613
2007-09-03,111.98467243516698
2007-09-04,110.6711199797038
2007-09-05,110.51577544610676
2007-09-06,110.32903100102129
2007-09-07,111.72150557251524
2007-09-10,113.97607378826402
2007-09-11,114.18641502616677
2007-09-12,113.82092348794686
2007-09-13,115.40247832561823
2007-09-14,115.32150821966167
2007-09-17,115.04845145809244
2007-09-18,116.83077117457599
2007-09-19,116.64042978296494
2007-09-20,117.74691093427138
2007-09-21,118.85390532318256
2007-09-24,118.75325380068882
2007-09-25,117.8595192047182
2007-09-26,118.54253638023728
2007-09-27,117.76330724780672
2007-09-28,117.70725662923314
2007-10-01,117.89694082377306
2007-10-02,118.15729361296849
2007-10-03,117.93032826262497
2007-10-04,117.752657459119
2007-10-05,115.63980815105661
2007-10-08,116.2047139969887
2007-10-09,115.93109041237395
2007-10-10,115.64371908204802
2007-10-11,115.47385295731402
2007-10-12,114.37999245463402
2007-10-15,113.93520719343178
2007-10-16,113.88574842764592
2007-10-17,113.93911774046327
2007-10-18,114.44083561805118
2007-10-19,114.05143890413034
2007-10-22,115.1034089611442
2007-10-23,116.04009893007272
2007-10-24,115.62897852935785
2007-10-25,115.37073057088574
2007-10-26,115.57619760404152
2007-10-29,116.78529771802812
2007-10-30,117.07044446949739
2007-10-31,117.97879405821759
2007-11-01,117.58685984075426
2007-11-02,117.81355176389911
2007-11-05,117.31436886171396
2007-11-06,116.99038888772182
2007-11-07,117.97122989789919
2007-11-08,119.0520842934874
2007-11-09,122.0029880781367
2007-11-12,124.33742939872035
2007-11-13,128.85745179834453
2007-11-14,128.0946086757314
2007-11-15,128.4147184457761
2007-11-16,127.4638089104226
2007-11-19,127.99039527496679
2007-11-20,128.53977073639112
2007-11-21,128.79566403656943
2007-11-22,128.77664770745668
2007-11-23,127.56415497325806
2007-11-26,127.43059264730338
2007-11-27,124.8141175676454
2007-11-28,125.06312684075615
2007-11-29,125.55666585907575
2007-11-30,125.34161893388833
2007-12-03,124.76855430705128
2007-12-04,125.61319083451406
2007-12-05,126.15564674571449
2007-12-06,125.99282108623542
2007-12-07,127.09007374290007
2007-12-10,127.73227061114068
2007-12-11,129.3900560040828
2007-12-12,130.76509512603033
2007-12-13,130.43559020766466
2007-12-14,131.8850660126974
2007-12-17,131.9101532032312
2007-12-18,131.84054513790753
2007-12-19,131.16866145076185
2007-12-20,131.68530752001112
2007-12-21,133.57684718326243
2007-12-24,134.6785630511587
2007-12-25,133.854308117898
2007-12-26,142.30236563784294
2007-12-27,143.02340164001896
2007-12-28,144.2856362780848
2007-12-31,147.77003806809722
2008-01-01,146.70662453512506
2008-01-02,149.90491903178557
2008-01-03,154.28708159498694
2008-01-04,155.0099007674683
2008-01-07,153.4377483481327
2008-01-08,152.18027125259889
2008-01-09,152.2718090854255
2008-01-10,150.84417441484274
2008-01-11,150.1353260504576
2008-01-14,150.8294948190051
2008-01-15,151.09961505904246
2008-01-16,150.06644867225396
2008-01-17,149.34373390144984
2008-01-18,148.19000040592007
2008-01-21,148.41480944136032
2008-01-22,151.11848036669628
2008-01-23,151.159955821218
2008-01-24,152.70902952197704
2008-01-25,153.66281601165875
2008-01-28,154.26223202298794
2008-01-29,154.12071126806117
2008-01-30,152.81177112382295
2008-01-31,149.014296187233
2008-02-01,148.0316458053663
2008-02-04,147.88766286678654
2008-02-05,150.41116574308296
2008-02-06,153.83836194893675
2008-02-07,155.22377866126575
2008-02-08,155.33921142209653
2008-02-11,154.97041803075834
2008-02-12,154.91733183032778
2008-02-13,156.31527531040626
2008-02-14,156.64719626346283
2008-02-15,155.8255488727474
2008-02-18,155.6384678438554
2008-02-19,153.8286280882561
2008-02-20,152.80231953211995
2008-02-21,151.80627469514855
2008-02-22,151.05244002577362
2008-02-25,152.5404001676019
2008-02-26,153.43835678562505
2008-02-27,154.86823612322547
2008-02-28,155.10904239596397
2008-02-29,157.64210100592095
2008-03-03,158.7011965484856
2008-03-04,162.80910799504622
2008-03-05,162.88797097846032
2008-03-06,162.28909890668433
2008-03-07,160.2417706303181
2008-03-10,160.28910559081655
2008-03-11,162.50898380846854
2008-03-12,162.27401238948943
2008-03-13,162.63189152305114
2008-03-14,160.68009074922273
2008-03-17,161.1987700432983
2008-03-18,166.39272515902047
2008-03-19,166.84215383232916
2008-03-20,167.33673115588297
2008-03-21,167.14764921277597
2008-03-24,167.46127482205037
2008-03-25,168.2770605792428
2008-03-26,168.39724177043595
